DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
4.1,7.0,11.0,19.1,10.3,7.98,1.7,0.82,0.0005,0.0025,2.0199999999999996,STRATFORD DRINKING WATER SYSTEM,20170628,2017
17.0,14.0,34.0,33.7,6.0,7.74,3.4,1.3,0.0005,0.0025,2.0199999999999996,SUDBURY DRINKING WATER SYSTEM - DAVID ST,20170425,2017
35.0,18.0,55.0,32.7,14.4,7.64,3.2,1.42,0.002,0.012,1.22,SUDBURY DRINKING WATER SYSTEM - DAVID ST,20170801,2017
1.3,0.375,2.0,1.4,9.0,8.13,0.9,1.2066666666666668,0.0005,0.023,0.85,SUDBURY DRINKING WATER SYSTEM - GARSON,20170418,2017
0.99,0.375,1.3,2.5,9.3,8.01,1.1,2.0866666666666664,0.0005,0.024,0.97,SUDBURY DRINKING WATER SYSTEM - GARSON,20171205,2017
17.0,9.2,30.0,21.4,9.0,7.29,2.5,1.1466666666666667,0.0005,0.0025,1.36,SUDBURY DRINKING WATER SYSTEM - WAHNAPITEI,20170424,2017
20.0,7.2,29.0,14.9,9.3,7.4,2.3,1.9466666666666665,0.0005,0.021,0.38,SUDBURY DRINKING WATER SYSTEM - WAHNAPITEI,20171207,2017
6.1,6.3,12.0,14.2,15.2,7.8,0.8,1.0,0.002,0.007,1.99,TERRACE BAY  DRINKING WATER SYSTEM,20170925,2017
4.3,3.5,8.8,10.5,13.1,7.95,1.1,1.0266666666666666,0.0005,0.0025,2.0199999999999996,TOWN OF HANOVER DRINKING WATER SYSTEM,20170606,2017
9.0,4.8,15.0,9.5,9.3,8.03,1.0,1.22,0.002,0.012,2.0199999999999996,TOWN OF HANOVER DRINKING WATER SYSTEM,20171204,2017
14.0,14.0,30.0,34.4,16.8,7.77,1.7,1.1866666666666668,0.002,0.0025,2.0199999999999996,TOWN OF LAKESHORE DRINKING WATER SYSTEM - STONEY POINT,20170523,2017
9.7,5.3,18.0,21.2,21.9,7.92,1.4,1.1933333333333334,0.0005,0.026,2.0199999999999996,TOWN OF LAKESHORE DRINKING WATER SYSTEM - STONEY POINT,20170829,2017
3.6,2.7,7.6,13.2,15.7,8.08,1.5,1.0933333333333333,0.0005,0.009,2.0199999999999996,TOWN OF LAKESHORE DRINKING WATER SYSTEM,20170530,2017
4.5,2.1,8.5,13.5,18.2,7.92,0.9,1.1533333333333333,0.0005,0.011,2.0199999999999996,TOWN OF LAKESHORE DRINKING WATER SYSTEM,20170912,2017
7.4,11.0,21.0,21.0,11.0,7.42,2.1,2.066666666666667,0.0005,0.024,2.0199999999999996,TRENTON  DRINKING WATER SYSTEM,20170419,2017
